#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2018-08-10T15:09:51 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5b6daaa7b10e	
#INFO	-out.max=1000	
#INFO	queryParameters=20	
#-oc.form=dec
#-out.max=1000
#-nav=cat:J/AJ/154/114&tab:{J/AJ/154/114/table3}&key:source=J/AJ/154/114/table3&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/154/114/table3
#-order=I
#-out=KODIAQ
#-out=Nd
#-out=zem
#-out=Exp
#-out=Olam0
#-out=Olam1
#-out=Rlam0
#-out=Rlam1
#-out=DR1
#-out=_RA
#-out=_DE
#

#RESOURCE=yCat_51540114
#Name: J/AJ/154/114
#Title: KODIAQ DR2 (O'Meara+, 2017)
#Table	J_AJ_154_114_table3:
#Name: J/AJ/154/114/table3
#Title: from the second Data Release (DR2) of the Keck Observatory Database of Ionized Absorption toward Quasars (KODIAQ)
#Column	KODIAQ	(A14)	Quasar designation (JHHMMSS+DDMMSS format) in Keck Observatory Database of Ionized Absorption toward Quasars (KODIAQ)	[ucd=meta.id;meta.main]
#Column	Nd	(I3)	Number of new observations since DR1 (table2) [NULL integer written as an empty string]	[ucd=meta.number]
#Column	zem	(F6.3)	[0/5.3] Emission line derived redshift	[ucd=src.redshift]
#Column	Exp	(I6)	[600/114000] Total exposure time	[ucd=time.duration;obs.exposure]
#Column	Olam0	(I4)	[2995/6215] Lower observed wavelength of coverage; in {AA}	[ucd=em.wl]
#Column	Olam1	(I4)	[4602/9725] Upper observed wavelength of coverage; in {AA}	[ucd=em.wl]
#Column	Rlam0	(I4)	[743/6031] Lower rest wavelength; in {AA} (1)	[ucd=em.wl]
#Column	Rlam1	(I4)	[1195/8388] Upper rest wavelength; in {AA} (1)	[ucd=em.wl]
#Column	DR1	(I3)	Indicates a quasar in the DR1 (O'Meara et al. 2015, Cat. J/AJ/150/111) [NULL integer written as an empty string]	[ucd=meta.number]
#Column	_RA	(F7.3)	Positions from KODIAQ names (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F8.4)	Positions from KODIAQ names (declination part)	[ucd=pos.eq.dec;meta.main]
KODIAQ	Nd	zem	Exp	Olam0	Olam1	Rlam0	Rlam1	DR1	_RA	_DE
J084547+132858	  1	 1.883	  7200	3931	6082	1363	2109	  0	131.446	+13.4828
J085141+161221	  4	 1.926	 26100	3400	4921	1161	1681	  0	132.921	+16.2058
J090033+421546	  3	 3.290	 28354	3545	8085	 826	1884	  1	135.137	+42.2628
J092708+582319	  0	 1.910	 21600	2995	5880	1029	2020	  1	141.783	+58.3886
J092759+154321	  0	 1.805	 16400	3074	5967	1095	2127	  1	141.996	+15.7225
J092914+282529	  0	 3.399	 10800	4306	7424	 978	1687	  1	142.308	+28.4247
J093337+284532	  3	 3.425	 34800	3847	6890	 869	1557	  0	143.404	+28.7589
J093643+292713	  0	 2.923	  7200	2995	5869	 763	1496	  1	144.179	+29.4536
J093748+730158	  3	 2.525	 18600	4070	7307	1154	2072	  0	144.450	+73.0328
J093857+412821	  3	 1.935	 12600	3108	4921	1058	1676	  0	144.737	+41.4725
J094202+042244	  0	 3.275	  7200	3364	6200	 786	1450	  1	145.508	+04.3789
J095122+263513	  1	 1.246	  1800	3584	5129	1595	2283	  0	147.842	+26.5869
J095309+523029	  0	 1.875	  7200	3156	6039	1097	2100	  1	148.287	+52.5081
J095355-050418	  1	 0.000	 30600	6031	8388	6031	8388	  0	148.479	-05.0717
J095500-013000	  1	 4.500	 28800	5706	8155	1037	1482	  0	148.750	-01.5000
J095714+544017	  1	 2.589	  7200	4162	6525	1159	1818	  0	149.308	+54.6714
J095820+322402	  0	 0.530	   600	3078	5934	2011	3878	  1	149.583	+32.4006
J095822+014524	  0	 1.960	  3600	3169	6030	1070	2037	  1	149.592	+01.7567
J095852+120245	  2	 3.297	 18900	3608	8564	 839	1993	  2	149.717	+12.0458
J100110+552834	  1	 2.102	  7200	4162	6525	1341	2103	  0	150.292	+55.4761
J100120+555355	  4	 1.414	 64600	3504	6777	1451	2807	  0	150.333	+55.8986
J100205+554257	  2	 1.150	  6600	3840	6191	1786	2879	  0	150.521	+55.7158
J100841+362319	  1	 3.125	 32000	3542	7993	 858	1937	  1	152.171	+36.3886
J101155+294141	  3	 2.652	 49194	3048	7050	 834	1930	  3	152.979	+29.6947
J101336+561536	  0	 3.632	  3600	3899	8368	 841	1806	  1	153.400	+56.2600
J101447+430030	  0	 3.125	  8700	3500	7057	 848	1710	  2	153.696	+43.0083
J101549+002019	  1	 4.402	  5400	6215	8554	1150	1583	  0	153.954	+00.3386
J101556-003504	  1	 2.462	 16200	6210	8549	1793	2469	  0	153.983	-00.5844
J101723-204658	  0	 2.545	 14400	3128	5981	 882	1687	  1	154.346	-20.7828
J101939+524627	  0	 2.170	  7200	3118	5974	 983	1884	  1	154.912	+52.7742
J102009+104002	  2	 3.167	 21000	3616	6524	 867	1565	  1	155.037	+10.6672
J102156+300140	  1	 3.129	  7200	4722	7185	1143	1740	  0	155.483	+30.0278
J102325+514251	  0	 0.597	  6200	3584	7975	2244	4993	  1	155.854	+51.7142
J102410+060013	  0	 2.130	  3300	3128	5992	 999	1914	  1	156.042	+06.0036
J103456+035859	  1	 3.369	  7200	4045	6089	 925	1393	  0	158.733	+03.9831
J103514+544040	  0	 2.989	 14400	3299	7801	 827	1955	  2	158.808	+54.6778
J104018+572448	  0	 3.408	  8100	3794	6657	 860	1510	  1	160.075	+57.4133
J104117+061016	  1	 1.270	  7200	3975	6408	1751	2822	  0	160.321	+06.1711
J104213+062853	  0	 2.035	  2400	3128	5992	1030	1974	  1	160.554	+06.4814
J104459+365605	  2	 0.700	 10800	3847	6284	2262	3696	  0	161.246	+36.9347
J105123+354534	  0	 4.912	  7800	5127	9713	 867	1642	  1	162.846	+35.7594
J105427+253600	  2	 2.400	  6000	3882	6424	1141	1889	  0	163.612	+25.6000
J105648+120826	  0	 1.923	 21300	3074	5975	1051	2044	  3	164.200	+12.1406
J105756+455553	  6	 4.137	 40800	3927	8003	 764	1557	  0	164.483	+45.9314
J110045+112239	  0	 4.706	 17400	5362	8391	 939	1470	  1	165.187	+11.3775
J110610+640009	  1	 2.202	 12000	3128	5981	 976	1867	  1	166.542	+64.0025
J110621+104432	  0	 1.859	  2700	3325	6184	1162	2162	  1	166.587	+10.7422
J111038+483115	  1	 2.954	  6000	3926	6076	 992	1536	  0	167.658	+48.5208
J111113-080402	  1	 3.922	 19800	4158	8751	 844	1777	  1	167.804	-08.0672
J111909+211917	  0	 1.183	  1800	3051	5932	1397	2717	  1	169.787	+21.3214
J112442-170517	  3	 2.397	 39000	3126	6141	 920	1807	  2	171.175	-17.0881
J113130+604420	  0	 2.921	  7200	3597	6423	 917	1638	  1	172.875	+60.7389
J113418+574204	  0	 3.521	  6300	3973	8534	 878	1887	  1	173.575	+57.7011
J113508+222715	  0	 2.886	 17600	3433	6311	 883	1624	  1	173.783	+22.4542
J114308+345222	  2	 3.145	 18000	4224	6758	1019	1630	  0	175.783	+34.8728
J115538+053050	  0	 3.475	  7200	5057	8140	1130	1818	  1	178.908	+05.5139
J115940-003203	  0	 2.035	  1200	3154	5992	1039	1974	  1	179.917	-00.5342
J115944+011207	  1	 2.002	 25000	3848	6160	1281	2051	  0	179.933	+01.2019
J120006+312630	  2	 2.989	 25800	3436	6178	 861	1548	  0	180.025	+31.4417
J120147+120630	  0	 3.509	 14400	4643	7126	1029	1580	  0	180.446	+12.1083
J120207+323538	  0	 5.292	 14400	5123	9709	 814	1543	  1	180.529	+32.5939
J120416+022111	  0	 2.529	 10800	3455	6422	 979	1819	  2	181.067	+02.3531
J120917+113830	  2	 3.105	 26400	3500	6411	 852	1561	  1	182.321	+11.6417
J121117+042222	  0	 2.526	  9000	3403	6302	 965	1787	  1	182.821	+04.3728
J121134+090220	  1	 3.291	 10800	4068	6507	 948	1516	  0	182.892	+09.0389
J121303+171423	  1	 2.558	  7200	3802	6184	1068	1738	  0	183.262	+17.2397
J121930+494052	  4	 2.633	 31719	3027	7052	 833	1941	  2	184.875	+49.6811
J122137+043026	  1	 0.094	  4600	3585	5130	3276	4689	  0	185.404	+04.5072
J122518+483116	  0	 3.090	  9000	3571	8128	 873	1987	  1	186.325	+48.5211
J122607+173649	  1	 2.924	 10100	4784	7181	1219	1830	  0	186.529	+17.6136
J122824+312837	  1	 2.200	 19200	3101	5980	 969	1868	  1	187.100	+31.4769
J123200-022404	  2	 1.043	 12000	3369	4909	1649	2402	  0	188.000	-02.4011
J123643-020420	  0	 1.864	  3000	3303	6185	1153	2159	  1	189.179	-02.0722
J123748+012606	  0	 3.144	  4000	3370	6274	 813	1513	  1	189.450	+01.4350
J124610+303117	  2	 2.560	 55800	3160	4711	 887	1323	  0	191.542	+30.5214
J124610+303131	  0	 2.560	  3600	3189	6086	 895	1709	  1	191.542	+30.5253
J124913-055918	  1	 2.226	  7200	3931	6293	1218	1950	  0	192.304	-05.9883
J124924-023339	  0	 2.116	  4800	3075	5966	 986	1914	  1	192.350	-02.5608
J125005+263107	  1	 2.047	  5400	3889	6281	1276	2061	  0	192.521	+26.5186
J130411+295348	  0	 2.850	  7200	2996	5871	 778	1524	  1	196.046	+29.8967
J130426+120245	  0	 2.980	  9000	3606	8171	 906	2053	  1	196.108	+12.0458
J130542+092427	  0	 2.062	  5400	3128	5992	1021	1956	  1	196.425	+09.4075
J130554+303252	  3	 1.759	 52500	3470	5030	1257	1823	  0	196.475	+30.5478
J131011+460124	  4	 2.133	 16600	3123	5119	 996	1633	  0	197.546	+46.0233
J131040+542449	  0	 1.929	 10800	3244	6136	1107	2094	  1	197.667	+54.4136
J131215+423900	  2	 2.566	 25287	3102	6068	 869	1701	  1	198.062	+42.6500
J131341+144140	  0	 1.884	 10800	3243	6132	1124	2126	  2	198.421	+14.6944
J131855+531207	  0	 2.321	  3600	3838	6899	1155	2077	  1	199.729	+53.2019
J133108+303032	  3	 0.849	 14350	3159	4908	1708	2654	  0	202.783	+30.5089
J133532+082404	  0	 1.909	  3000	3326	6185	1143	2126	  1	203.883	+08.4011
J134002+110630	  1	 2.913	  8100	4660	7044	1190	1800	  0	205.008	+11.1083
J134004+281653	  1	 2.517	  7200	3160	4711	 898	1339	  0	205.017	+28.2814
J134328+572147	  0	 3.034	  7200	3075	6190	 762	1534	  2	205.867	+57.3631
J134544+262506	  0	 2.031	  4800	3501	6386	1155	2106	  1	206.433	+26.4183
J134916-033715	  1	 3.992	 30200	5897	8347	1181	1672	  0	207.317	-03.6208
J135038-251216	  1	 2.534	 13200	3109	5981	 879	1692	  1	207.658	-25.2044
J135317+532825	  0	 2.920	  8400	3497	7985	 892	2036	  1	208.321	+53.4736
J135405+313902	  1	 1.320	 12200	3988	6160	1718	2655	  0	208.521	+31.6506
J140501+444800	  0	 2.218	 17600	3215	6095	 999	1894	  2	211.254	+44.8000
J141719+413237	  0	 2.023	 25200	3281	6188	1085	2046	  2	214.329	+41.5436
J141906+592312	  0	 2.320	  7200	3108	5966	 936	1796	  1	214.775	+59.3867
J142438+225600	 10	 3.620	114000	3569	7297	 772	1579	  0	216.158	+22.9333
J142656+602550	  1	 3.191	  4500	5616	7975	1340	1902	  0	216.733	+60.4306
J143316+313126	  0	 2.940	  6000	3245	6095	 823	1546	  1	218.317	+31.5239
J143500+535953	  0	 2.635	  7200	3472	6379	 955	1754	  1	218.750	+53.9981
J143912+295448	  1	 2.992	 10680	3575	5121	 895	1282	  0	219.800	+29.9133
J143916-015627	  0	 2.162	  5400	3075	5967	 972	1887	  1	219.817	-01.9408
J144331+272436	  1	 4.443	 25200	6070	8482	1115	1558	  0	220.879	+27.4100
J144453+291905	  2	 2.660	 34900	2995	6083	 818	1662	  2	221.221	+29.3181
J144516+095836	  2	 3.529	 18000	4105	6542	 906	1444	  0	221.317	+09.9767
J145408+511443	  0	 3.635	  1800	4075	8565	 879	1847	  1	223.533	+51.2453
J145435+094100	  0	 1.945	  2400	3152	5992	1070	2034	  1	223.646	+09.6833
J150932+111313	  0	 2.110	  5194	3128	5992	1005	1926	  1	227.383	+11.2203
J151224+465233	  0	 3.359	 11702	3588	6423	 823	1473	  1	228.100	+46.8758
J152144+525449	  2	 1.855	 21000	4154	6592	1454	2308	  0	230.433	+52.9136
J152156+520238	  0	 2.208	  7200	3102	5982	 966	1864	  1	230.483	+52.0439
J154153+315329	  0	 2.557	  4800	4417	7480	1241	2102	  1	235.471	+31.8914
J155152+191104	  2	 2.843	 51900	2995	6091	 779	1584	  2	237.967	+19.1844
J155556+480015	  0	 3.298	 21600	4018	8565	 934	1992	  2	238.983	+48.0042
J155610+374039	  1	 2.658	  9000	3247	4775	 887	1305	  0	239.042	+37.6775
J155810-003120	  0	 2.827	 14900	3335	6201	 871	1620	  2	239.542	-00.5222
J155814+405337	  0	 2.635	 25200	3101	5979	 853	1644	  1	239.558	+40.8936
J155855+332318	  2	 1.654	 12900	3477	5029	1310	1894	  0	239.729	+33.3883
J160355+573054	  2	 2.850	 42060	3209	4602	 833	1195	  0	240.979	+57.5150
J160413+395121	  0	 3.130	 10300	4291	8767	1038	2122	  1	241.054	+39.8558
J160455+381201	  4	 2.551	 19200	3105	7053	 874	1986	  0	241.229	+38.2003
J160455+381214	  0	 2.551	 17200	3030	5981	 853	1684	  2	241.229	+38.2039
J160547+511330	  0	 1.786	  7200	3118	5975	1119	2144	  1	241.446	+51.2250
J160843+071508	  0	 2.877	 12300	3078	7586	 793	1956	  3	242.179	+07.2522
J161009+472444	  0	 3.216	 14100	3834	8507	 909	2017	  2	242.537	+47.4122
J162453+375806	  0	 3.380	  7200	3561	6591	 813	1504	  1	246.221	+37.9683
J162548+264433	  3	 2.535	 43200	3022	8103	 854	2292	  3	246.450	+26.7425
J162548+264658	  3	 2.517	 38400	3022	6084	 859	1729	  2	246.450	+26.7828
J162557+264448	  2	 2.601	 40489	3102	8123	 861	2255	  3	246.487	+26.7467
J162645+642655	  3	 2.320	 35603	3127	6078	 941	1830	  2	246.687	+64.4486
J162902+091322	  0	 1.985	  2400	3153	5992	1056	2007	  1	247.258	+09.2228
J163412+320335	  2	 2.343	 14400	3903	6077	1167	1817	  0	248.550	+32.0597
J164656+551446	  1	 4.050	 15000	4541	6076	 899	1203	  0	251.733	+55.2461
J170100+641209	  5	 2.734	 61817	3060	8125	 819	2175	  5	255.250	+64.2025
J170124+514920	  1	 0.292	  5200	3159	4660	2445	3606	  0	255.350	+51.8222
J170919+281835	  2	 2.370	  6000	3885	6304	1152	1870	  0	257.329	+28.3097
J171227+575507	  0	 3.008	 14700	3451	6310	 861	1574	  3	258.112	+57.9186
J171938+480412	  1	 1.083	  5000	3403	4955	1633	2378	  0	259.908	+48.0700
J173352+540030	  0	 3.424	 10800	3735	8543	 844	1931	  2	263.467	+54.0083
J175603+574848	  0	 2.110	 61000	3157	8544	1015	2747	  5	269.012	+57.8133
J175746+753916	  5	 3.050	 40444	4106	7591	1013	1874	  0	269.442	+75.6544
J182157+642036	  0	 0.297	  2400	3105	5932	2393	4573	  1	275.487	+64.3433
J185230+401906	  1	 2.120	  6000	3806	6190	1219	1983	  0	283.125	+40.3183
J193957-100241	  1	 3.787	 56173	3569	6759	 745	1411	  2	294.987	-10.0447
J194455+770552	  6	 3.020	 75463	3470	6396	3470	6396	  0	296.229	+77.0978
J200324-325145	  1	 3.783	 19200	3565	8300	 745	1735	  2	300.850	-32.8625
J203642-055300	  0	 2.582	 21600	3244	8565	 905	2391	  2	309.175	-05.8833
